,T7,F8,Cz,P4
2400,528.3712158203125,-976.0147705078124,393.321533203125,348.895263671875
2401,499.8245544433594,-997.2125244140624,372.9615173339844,338.74517822265625
2402,493.8781127929688,-998.05029296875,370.02569580078125,331.9123840332031
2403,526.8565063476561,-977.8062133789062,392.6932373046875,349.1944580078125
2404,515.5807495117189,-975.7754516601562,394.2640075683594,353.27093505859375
2405,490.2391662597656,-992.358154296875,375.4186401367188,337.1594543457031
2406,489.9399719238281,-999.53125,365.4518127441406,330.52862548828125
2407,513.6023559570311,-971.41845703125,388.3212890625,344.67291259765625
2408,521.2092895507811,-973.0789794921876,391.9789123535156,347.7508544921875
2409,496.4660949707031,-990.8771362304688,369.763916015625,329.68341064453125
2410,502.05352783203125,-994.7442016601562,374.7267456054688,333.96185302734375
2411,529.0069580078125,-971.078125,394.8960266113281,343.0909423828125
2412,527.819580078125,-975.556640625,396.6294860839844,347.6517639160156
2413,494.04827880859375,-996.5337524414062,369.4030151367188,331.0877380371094
2414,495.67510986328125,-1000.3147583007812,374.5079650878906,334.6032409667969
2415,517.2019653320311,-981.402099609375,393.2710571289063,350.31829833984375
2416,515.1599731445311,-975.7548828125,396.87255859375,351.2682189941406
2417,494.5045166015625,-995.8082275390624,375.2335205078125,334.5882873535156
2418,491.669677734375,-999.2676391601562,371.4150695800781,331.3308410644531
2419,513.406005859375,-985.134521484375,388.5064086914063,341.6043395996094
2420,513.4920043945311,-977.2433471679688,386.2475280761719,346.9299621582031
2421,499.50103759765625,-1000.5130004882812,369.2608947753906,336.1029357910156
2422,489.6202087402344,-999.701416015625,365.0235900878906,323.9781799316406
2423,510.683349609375,-977.4864501953124,388.90283203125,340.6805725097656
2424,512.8375244140625,-976.4429931640624,394.1686401367188,344.6598205566406
2425,498.9737243652344,-991.555908203125,375.02783203125,331.27471923828125
2426,500.3387756347656,-994.03173828125,374.5453796386719,329.2925720214844
2427,522.3593139648439,-973.4249267578124,393.54779052734375,342.7674255371094
2428,528.73583984375,-970.3357543945312,402.17950439453125,348.0257263183594
2429,492.5896911621094,-1000.0679321289062,376.1684875488281,327.280517578125
2430,506.6741638183594,-1001.2123413085938,372.22662353515625,325.7060241699219
2431,525.0445556640625,-973.5557861328124,401.3454895019531,344.9590148925781
2432,522.0488891601561,-973.5109252929688,398.92578125,348.313720703125
2433,502.5602722167969,-994.2224731445312,374.769775390625,334.2890930175781
2434,495.7611389160156,-995.4566650390624,384.254150390625,330.0966491699219
2435,522.98388671875,-976.9815673828124,404.80865478515625,344.29705810546875
2436,522.8492431640625,-974.88720703125,400.545166015625,348.6054382324219
2437,492.7617492675781,-993.2763061523438,379.7774963378906,330.5791015625
2438,494.5606384277344,-994.7236328125,372.5295715332031,327.1795349121094
2439,528.114990234375,-972.9461669921876,400.7770385742188,347.797607421875
2440,516.7120361328125,-974.7974243164062,397.12689208984375,338.70965576171875
2441,495.7798461914063,-996.9713134765624,374.418212890625,330.0293273925781
2442,492.0586242675781,-997.08349609375,378.6592712402344,331.4841613769531
2443,522.2471313476561,-980.3773803710938,395.20458984375,343.8520202636719
2444,518.2678833007811,-975.2238159179688,397.79632568359375,349.4917907714844
2445,497.1411743164063,-993.291259765625,380.8583068847656,332.7482604980469
2446,495.3796691894531,-997.072265625,375.8917236328125,332.5575256347656
2447,516.4876708984375,-980.8934936523438,395.9226379394531,345.662109375
